Person	Show Title	Episode Title	Rank	Job	Character Name
Olivia Colman	The Crown	Episode #4.7	01	actress	Queen Elizabeth II
Gillian Anderson	The Crown	Episode #4.7	02	actress	Margaret Thatcher
Helena Bonham Carter	The Crown	Episode #4.7	03	actress	Princess Margaret
Emma Corrin	The Crown	Episode #4.7	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #4.7	05	writer	
Erin Doherty	The Crown	Episode #4.7	07	actress	Princess Anne
Freddie Fox	The Crown	Episode #4.7	08	actor	Mark Thatcher
Tuncay Gunes	The Crown	Episode #4.7	09	actor	
Tobias Menzies	The Crown	Episode #4.7	10	actor	Philip, Duke of Edinburgh
Olivia Colman	The Crown	Episode #4.8	01	actress	Queen Elizabeth II
Gillian Anderson	The Crown	Episode #4.8	02	actress	Margaret Thatcher
Helena Bonham Carter	The Crown	Episode #4.8	03	actress	Princess Margaret
Emma Corrin	The Crown	Episode #4.8	04	actress	Princess Diana
Julian Jarrold	The Crown	Episode #4.8	05	director	
Peter Morgan	The Crown	Episode #4.8	06	writer	
Erin Doherty	The Crown	Episode #4.8	09	actress	Princess Anne
Freddie Fox	The Crown	Episode #4.8	10	actor	Mark Thatcher
Olivia Colman	The Crown	Episode #4.9	01	actress	Queen Elizabeth II
Gillian Anderson	The Crown	Episode #4.9	02	actress	Margaret Thatcher
Helena Bonham Carter	The Crown	Episode #4.9	03	actress	Princess Margaret
Robert Cavanah	The Crown	Episode #4.9	04	actor	Psychiatrist
Peter Morgan	The Crown	Episode #4.9	05	writer	
Emma Corrin	The Crown	Episode #4.9	07	actress	Princess Diana
Erin Doherty	The Crown	Episode #4.9	08	actress	Princess Anne
Freddie Fox	The Crown	Episode #4.9	09	actor	Mark Thatcher
Tuncay Gunes	The Crown	Episode #4.9	10	actor	
Imelda Staunton	The Crown	Episode #5.1	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #5.1	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #5.1	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #5.1	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #5.1	05	writer	
Rachel Sophia-Anthony	The Crown	Episode #5.1	06	actress	Ghana Guest
Imelda Staunton	The Crown	Episode #5.10	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #5.10	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #5.10	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #5.10	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #5.10	05	writer	
Imelda Staunton	The Crown	Episode #5.2	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #5.2	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #5.2	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #5.2	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #5.2	05	writer	
Imelda Staunton	The Crown	Episode #5.3	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #5.3	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #5.3	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #5.3	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #5.3	05	writer	
Imelda Staunton	The Crown	Episode #5.4	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #5.4	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #5.4	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #5.4	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #5.4	05	writer	
Imelda Staunton	The Crown	Episode #5.5	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #5.5	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #5.5	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #5.5	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #5.5	05	writer	
Imelda Staunton	The Crown	Episode #5.6	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #5.6	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #5.6	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #5.6	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #5.6	05	writer	
Imelda Staunton	The Crown	Episode #5.7	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #5.7	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #5.7	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #5.7	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #5.7	05	writer	
Imelda Staunton	The Crown	Episode #5.8	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #5.8	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #5.8	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #5.8	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #5.8	05	writer	
Imelda Staunton	The Crown	Episode #5.9	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #5.9	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #5.9	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #5.9	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #5.9	05	writer	
Imelda Staunton	The Crown	Episode #6.1	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #6.1	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #6.1	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #6.1	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #6.1	05	writer	
Imelda Staunton	The Crown	Episode #6.10	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #6.10	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #6.10	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #6.10	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #6.10	05	writer	
Imelda Staunton	The Crown	Episode #6.2	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #6.2	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #6.2	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #6.2	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #6.2	05	writer	
Imelda Staunton	The Crown	Episode #6.3	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #6.3	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #6.3	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #6.3	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #6.3	05	writer	
Imelda Staunton	The Crown	Episode #6.4	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #6.4	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #6.4	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #6.4	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #6.4	05	writer	
Imelda Staunton	The Crown	Episode #6.5	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #6.5	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #6.5	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #6.5	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #6.5	05	writer	
Imelda Staunton	The Crown	Episode #6.6	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #6.6	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #6.6	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #6.6	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #6.6	05	writer	
Imelda Staunton	The Crown	Episode #6.7	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #6.7	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #6.7	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #6.7	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #6.7	05	writer	
Imelda Staunton	The Crown	Episode #6.8	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #6.8	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #6.8	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #6.8	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #6.8	05	writer	
Imelda Staunton	The Crown	Episode #6.9	01	actress	Queen Elizabeth II
Jonathan Pryce	The Crown	Episode #6.9	02	actor	Prince Philip, Duke of Edinburgh
Lesley Manville	The Crown	Episode #6.9	03	actress	Princess Margaret
Elizabeth Debicki	The Crown	Episode #6.9	04	actress	Princess Diana
Peter Morgan	The Crown	Episode #6.9	05	writer	
Claire Foy	The Crown	Gelignite	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Gelignite	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Gelignite	03	actress	Queen Elizabeth The Queen Mother
Vanessa Kirby	The Crown	Gelignite	04	actress	Princess Margaret
Julian Jarrold	The Crown	Gelignite	05	director	
Peter Morgan	The Crown	Gelignite	06	writer	
Edward Hemming	The Crown	Gelignite	07	writer	
Claire Foy	The Crown	Gloriana	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Gloriana	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Gloriana	03	actress	Queen Elizabeth the Queen Mother
Jared Harris	The Crown	Gloriana	04	actor	King George VI
Philip Martin	The Crown	Gloriana	05	director	
Peter Morgan	The Crown	Gloriana	06	writer	
Tom Edge	The Crown	Gloriana	07	writer	
Edward Hemming	The Crown	Gloriana	08	writer	
Claire Foy	The Crown	Hyde Park Corner	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Hyde Park Corner	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Hyde Park Corner	03	actress	Queen Elizabeth The Queen Mother
Jared Harris	The Crown	Hyde Park Corner	04	actor	King George VI
Stephen Daldry	The Crown	Hyde Park Corner	05	director	
Peter Morgan	The Crown	Hyde Park Corner	06	writer	
Edward Hemming	The Crown	Hyde Park Corner	07	writer	
Olivia Colman	The Crown	Imbroglio	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Imbroglio	02	actor	Prince Philip, Duke of Edinburgh
Helena Bonham Carter	The Crown	Imbroglio	03	actress	Princess Margaret
Ben Daniels	The Crown	Imbroglio	04	actor	Lord Snowdon
Samuel Donovan	The Crown	Imbroglio	05	director	
Peter Morgan	The Crown	Imbroglio	06	writer	
Edward Hemming	The Crown	Imbroglio	07	writer	
Jonathan Wilson	The Crown	Imbroglio	08	writer	
Jon Brittain	The Crown	Imbroglio	09	writer	
Claire Foy	The Crown	Lisbon	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Lisbon	02	actor	Prince Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Lisbon	03	actress	Queen Elizabeth the Queen Mother
Vanessa Kirby	The Crown	Lisbon	04	actress	Princess Margaret
Philip Martin	The Crown	Lisbon	05	director	
Peter Morgan	The Crown	Lisbon	06	writer	
Edward Hemming	The Crown	Lisbon	07	writer	
Laura Deeley	The Crown	Lisbon	08	writer	
Olivia Colman	The Crown	Margaretology	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Margaretology	02	actor	Prince Philip, Duke of Edinburgh
Helena Bonham Carter	The Crown	Margaretology	03	actress	Princess Margaret
Ben Daniels	The Crown	Margaretology	04	actor	Lord Snowdon
Benjamin Caron	The Crown	Margaretology	05	director	
Peter Morgan	The Crown	Margaretology	06	writer	
Jonathan Wilson	The Crown	Margaretology	07	writer	
Jon Brittain	The Crown	Margaretology	08	writer	
Edward Hemming	The Crown	Margaretology	09	writer	
Claire Foy	The Crown	Marionettes	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Marionettes	02	actor	Prince Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Marionettes	03	actress	Queen Elizabeth the Queen Mother
Vanessa Kirby	The Crown	Marionettes	04	actress	Princess Margaret
Philippa Lowthorpe	The Crown	Marionettes	05	director	
Peter Morgan	The Crown	Marionettes	06	writer	
Edward Hemming	The Crown	Marionettes	07	writer	
Laura Deeley	The Crown	Marionettes	08	writer	
Claire Foy	The Crown	Matrimonium	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Matrimonium	02	actor	Prince Philip, Duke of Edinburgh
Vanessa Kirby	The Crown	Matrimonium	03	actress	Princess Margaret
Victoria Hamilton	The Crown	Matrimonium	04	actress	Queen Elizabeth the Queen Mother
Benjamin Caron	The Crown	Matrimonium	05	director	
Peter Morgan	The Crown	Matrimonium	06	writer	
Edward Hemming	The Crown	Matrimonium	07	writer	
Laura Deeley	The Crown	Matrimonium	08	writer	
Claire Foy	The Crown	Misadventure	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Misadventure	02	actor	Philip, Duke of Edinburgh
Vanessa Kirby	The Crown	Misadventure	03	actress	Princess Margaret
Jeremy Northam	The Crown	Misadventure	04	actor	Anthony Eden
Philip Martin	The Crown	Misadventure	05	director	
Peter Morgan	The Crown	Misadventure	06	writer	
Edward Hemming	The Crown	Misadventure	07	writer	
Laura Deeley	The Crown	Misadventure	08	writer	
Olivia Colman	The Crown	Moondust	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Moondust	02	actor	Prince Philip, Duke of Edinburgh
Helena Bonham Carter	The Crown	Moondust	03	actress	Princess Margaret
Ben Daniels	The Crown	Moondust	04	actor	Lord Snowdon
Jessica Hobbs	The Crown	Moondust	05	director	
Peter Morgan	The Crown	Moondust	06	writer	
Jonathan Wilson	The Crown	Moondust	07	writer	
Jon Brittain	The Crown	Moondust	08	writer	
Edward Hemming	The Crown	Moondust	09	writer	
Claire Foy	The Crown	Mystery Man	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Mystery Man	02	actor	Prince Philip, Duke of Edinburgh
Vanessa Kirby	The Crown	Mystery Man	03	actress	Princess Margaret
Victoria Hamilton	The Crown	Mystery Man	04	actress	Queen Elizabeth the Queen Mother
Benjamin Caron	The Crown	Mystery Man	05	director	
Peter Morgan	The Crown	Mystery Man	06	writer	
Edward Hemming	The Crown	Mystery Man	07	writer	
Laura Deeley	The Crown	Mystery Man	08	writer	
Olivia Colman	The Crown	Olding	01	actress	Queen Elizabeth II
Tobias Menzies	The Crown	Olding	02	actor	Prince Philip, Duke of Edinburgh
Helena Bonham Carter	The Crown	Olding	03	actress	Princess Margaret
Ben Daniels	The Crown	Olding	04	actor	Lord Snowdon
Benjamin Caron	The Crown	Olding	05	director	
Peter Morgan	The Crown	Olding	06	writer	
Jonathan Wilson	The Crown	Olding	07	writer	
Jon Brittain	The Crown	Olding	08	writer	
Edward Hemming	The Crown	Olding	09	writer	
Claire Foy	The Crown	Paterfamilias	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Paterfamilias	02	actor	Prince Philip, Duke of Edinburgh
Finn Elliot	The Crown	Paterfamilias	03	actor	Young Prince Philip
Julian Baring	The Crown	Paterfamilias	04	actor	Prince Charles
Stephen Daldry	The Crown	Paterfamilias	05	director	
Peter Morgan	The Crown	Paterfamilias	06	writer	
Tom Edge	The Crown	Paterfamilias	07	writer	
Edward Hemming	The Crown	Paterfamilias	08	writer	
Laura Deeley	The Crown	Paterfamilias	09	writer	
Claire Foy	The Crown	Pride & Joy	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Pride & Joy	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Pride & Joy	03	actress	Queen Elizabeth the Queen Mother
Vanessa Kirby	The Crown	Pride & Joy	04	actress	Princess Margaret
Philip Martin	The Crown	Pride & Joy	05	director	
Peter Morgan	The Crown	Pride & Joy	06	writer	
Tom Edge	The Crown	Pride & Joy	07	writer	
Edward Hemming	The Crown	Pride & Joy	08	writer	
Claire Foy	The Crown	Scientia Potentia Est	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Scientia Potentia Est	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Scientia Potentia Est	03	actress	Queen Elizabeth the Queen Mother
Jeremy Northam	The Crown	Scientia Potentia Est	04	actor	Anthony Eden
Benjamin Caron	The Crown	Scientia Potentia Est	05	director	
Peter Morgan	The Crown	Scientia Potentia Est	06	writer	
Edward Hemming	The Crown	Scientia Potentia Est	07	writer	
Claire Foy	The Crown	Smoke and Mirrors	01	actress	Queen Elizabeth II
Matt Smith	The Crown	Smoke and Mirrors	02	actor	Philip, Duke of Edinburgh
Victoria Hamilton	The Crown	Smoke and Mirrors	03	actress	Queen Elizabeth The Queen Mother
Jared Harris	The Crown	Smoke and Mirrors	04	actor	King George VI
