Person	Show Title	Episode Title	Rank	Job	Character Name
Claire Foy	The Crown	Scientia Potentia Est	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Smoke and Mirrors	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Vergangenheit	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Windsor	01	actress	Queen Elizabeth II
Claire Foy	The Crown	Wolferton Splash	01	actress	Princess Elizabeth
Colin Blyth	The Crown	Episode #4.2	03	actor	Goverment Minister (Wet)
Colin Blyth	The Crown	Episode #4.3	03	actor	Goverment Minister (Wet)
Daisy Waterstone	The Durrells		04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #1.1	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #1.2	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #1.3	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #1.4	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #1.5	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #1.6	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #2.1	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #2.2	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #2.3	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #2.4	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #2.5	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #2.6	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #3.1	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #3.2	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #3.3	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #3.4	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #3.5	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #3.6	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #3.7	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #3.8	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #4.1	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #4.2	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #4.3	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #4.4	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #4.5	04	actress	Margo Durrell
Daisy Waterstone	The Durrells	Episode #4.6	04	actress	Margo Durrell
David Farr	The Night Manager		05	writer	
David Farr	The Night Manager	Episode #1.1	07	writer	
David Farr	The Night Manager	Episode #1.2	07	writer	
David Farr	The Night Manager	Episode #1.3	07	writer	
David Farr	The Night Manager	Episode #1.4	07	writer	
David Farr	The Night Manager	Episode #1.5	07	writer	
David Farr	The Night Manager	Episode #1.6	07	writer	
David Hancock	The Crown	Dangling Man	07	writer	
Duncan Duff	The Crown	Episode #4.10	07	actor	Cecil Parkinson
Duncan Macmillan	The Crown	Act of God	07	writer	
Edward Hall	The Durrells	Episode #2.4	05	director	
Edward Hall	The Durrells	Episode #2.5	05	director	
Edward Hall	The Durrells	Episode #2.6	05	director	
Edward Hemming	The Crown	A Company of Men	07	writer	
Edward Hemming	The Crown	Dear Mrs. Kennedy	07	writer	
Edward Hemming	The Crown	Gelignite	07	writer	
Edward Hemming	The Crown	Hyde Park Corner	07	writer	
Edward Hemming	The Crown	Imbroglio	07	writer	
Edward Hemming	The Crown	Lisbon	07	writer	
Edward Hemming	The Crown	Marionettes	07	writer	
Edward Hemming	The Crown	Matrimonium	07	writer	
Edward Hemming	The Crown	Misadventure	07	writer	
Edward Hemming	The Crown	Mystery Man	07	writer	
Edward Hemming	The Crown	Scientia Potentia Est	07	writer	
Edward Hemming	The Crown	Vergangenheit	07	writer	
Edward Hemming	The Crown	Wolferton Splash	07	writer	
Edward Hemming	The Crown	Act of God	08	writer	
Edward Hemming	The Crown	Assassins	08	writer	
Edward Hemming	The Crown	Beryl	08	writer	
Edward Hemming	The Crown	Gloriana	08	writer	
Edward Hemming	The Crown	Paterfamilias	08	writer	
Edward Hemming	The Crown	Pride & Joy	08	writer	
Edward Hemming	The Crown	Aberfan	09	writer	
Edward Hemming	The Crown	Bubbikins	09	writer	
Edward Hemming	The Crown	Coup	09	writer	
Edward Hemming	The Crown	Cri de Coeur	09	writer	
Edward Hemming	The Crown	Margaretology	09	writer	
Edward Hemming	The Crown	Moondust	09	writer	
Edward Hemming	The Crown	Olding	09	writer	
Edward Hemming	The Crown	Smoke and Mirrors	09	writer	
Edward Hemming	The Crown	Windsor	09	writer	
Edward Hemming	The Crown	Dangling Man	10	writer	
Edward Hemming	The Crown	Tywysog Cymru	10	writer	
Edward Wolstenholme	The Crown	Episode #4.4	08	actor	Edwards
Eileen Atkins	The Crown	Act of God	04	actress	Queen Mary
Elizabeth Debicki	The Crown	Episode #5.1	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #5.10	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #5.2	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #5.3	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #5.4	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #5.5	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #5.6	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #5.7	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #5.8	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #5.9	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #6.1	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #6.10	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #6.2	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #6.3	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #6.4	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #6.5	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #6.6	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #6.7	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #6.8	04	actress	Princess Diana
Elizabeth Debicki	The Crown	Episode #6.9	04	actress	Princess Diana
Elizabeth Debicki	The Night Manager	Episode #1.2	01	actress	Jed Marshall
Elizabeth Debicki	The Night Manager	Episode #1.3	02	actress	Jed Marshall
Elizabeth Debicki	The Night Manager		03	actress	Jed Marshall
Elizabeth Debicki	The Night Manager	Episode #1.4	03	actress	Jed Marshall
Emerald Fennell	The Crown	Episode #4.1	10	actress	Camilla Shand
Emma Corrin	The Crown	Episode #4.10	04	actress	Princess Diana
Emma Corrin	The Crown	Episode #4.4	04	actress	Princess Diana
Emma Corrin	The Crown	Episode #4.5	04	actress	Lady Diana Spencer
Emma Corrin	The Crown	Episode #4.6	04	actress	Princess Diana
Emma Corrin	The Crown	Episode #4.7	04	actress	Princess Diana
Emma Corrin	The Crown	Episode #4.8	04	actress	Princess Diana
Emma Corrin	The Crown	Episode #4.2	07	actress	Princess Diana
Emma Corrin	The Crown	Episode #4.9	07	actress	Princess Diana
Emma Corrin	The Crown	Episode #4.3	08	actress	Princess Diana
Emma Corrin	The Crown	Episode #4.1	09	actress	Lady Diana Spencer
Erin Doherty	The Crown	Bubbikins	04	actress	Princess Anne
Erin Doherty	The Crown	Episode #4.10	06	actress	Princess Anne
Erin Doherty	The Crown	Episode #4.5	06	actress	Princess Anne
Erin Doherty	The Crown	Episode #4.7	07	actress	Princess Anne
Erin Doherty	The Crown	Episode #4.2	08	actress	Princess Anne
Erin Doherty	The Crown	Episode #4.6	08	actress	Princess Anne
Erin Doherty	The Crown	Episode #4.9	08	actress	Princess Anne
Erin Doherty	The Crown	Episode #4.3	09	actress	Princess Anne
Erin Doherty	The Crown	Episode #4.8	09	actress	Princess Anne
Finn Elliot	The Crown	Paterfamilias	03	actor	Young Prince Philip
Freddie Fox	The Crown	Episode #4.5	07	actor	Mark Thatcher
Freddie Fox	The Crown	Episode #4.10	08	actor	Mark Thatcher
Freddie Fox	The Crown	Episode #4.7	08	actor	Mark Thatcher
Freddie Fox	The Crown	Episode #4.6	09	actor	Mark Thatcher
Freddie Fox	The Crown	Episode #4.9	09	actor	Mark Thatcher
Freddie Fox	The Crown	Episode #4.3	10	actor	Mark Thatcher
Freddie Fox	The Crown	Episode #4.8	10	actor	Mark Thatcher
Gerald Durrell	The Durrells	Episode #1.1	07	writer	
Gerald Durrell	The Durrells	Episode #1.2	07	writer	
Gerald Durrell	The Durrells	Episode #1.3	07	writer	
Gerald Durrell	The Durrells	Episode #1.4	07	writer	
Gerald Durrell	The Durrells	Episode #1.5	07	writer	
Gerald Durrell	The Durrells	Episode #1.6	07	writer	
Gerald Durrell	The Durrells	Episode #2.1	07	writer	
Gerald Durrell	The Durrells	Episode #2.2	07	writer	
Gerald Durrell	The Durrells	Episode #2.3	07	writer	
Gerald Durrell	The Durrells	Episode #2.4	07	writer	
Gerald Durrell	The Durrells	Episode #2.5	07	writer	
Gerald Durrell	The Durrells	Episode #2.6	07	writer	
Gerald Durrell	The Durrells	Episode #3.1	07	writer	
Gerald Durrell	The Durrells	Episode #3.2	07	writer	
Gerald Durrell	The Durrells	Episode #3.3	07	writer	
Gerald Durrell	The Durrells	Episode #3.4	07	writer	
Gerald Durrell	The Durrells	Episode #3.5	07	writer	
Gerald Durrell	The Durrells	Episode #3.6	07	writer	
Gerald Durrell	The Durrells	Episode #3.7	07	writer	
Gerald Durrell	The Durrells	Episode #3.8	07	writer	
Gerald Durrell	The Durrells	Episode #4.1	07	writer	
Gerald Durrell	The Durrells	Episode #4.2	07	writer	
Gerald Durrell	The Durrells	Episode #4.3	07	writer	
Gerald Durrell	The Durrells	Episode #4.4	07	writer	
Gerald Durrell	The Durrells	Episode #4.5	07	writer	
Gerald Durrell	The Durrells	Episode #4.6	07	writer	
Gillian Anderson	The Crown	Episode #4.10	02	actress	Margaret Thatcher
Gillian Anderson	The Crown	Episode #4.2	02	actress	Margaret Thatcher
Gillian Anderson	The Crown	Episode #4.3	02	actress	Margaret Thatcher
Gillian Anderson	The Crown	Episode #4.5	02	actress	Margaret Thatcher
Gillian Anderson	The Crown	Episode #4.6	02	actress	Margaret Thatcher
Gillian Anderson	The Crown	Episode #4.7	02	actress	Margaret Thatcher
Gillian Anderson	The Crown	Episode #4.8	02	actress	Margaret Thatcher
Gillian Anderson	The Crown	Episode #4.9	02	actress	Margaret Thatcher
Gillian Anderson	The Crown	Episode #4.1	03	actress	Margaret Thatcher
Gillian Anderson	The Crown	Episode #4.4	09	actress	Margaret Thatcher
Helena Bonham Carter	The Crown	Episode #4.1	02	actress	Princess Margaret
Helena Bonham Carter	The Crown	Aberfan	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Cri de Coeur	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Episode #4.10	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Episode #4.5	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Episode #4.6	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Episode #4.7	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Episode #4.8	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Episode #4.9	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Imbroglio	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Margaretology	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Moondust	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Olding	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Tywysog Cymru	03	actress	Princess Margaret
Helena Bonham Carter	The Crown	Episode #4.2	04	actress	Princess Margaret
Helena Bonham Carter	The Crown	Episode #4.3	04	actress	Princess Margaret
Helena Bonham Carter	The Crown		07	actress	Princess Margaret
Helena Bonham Carter	The Crown	Episode #4.4	07	actress	Princess Margaret
Holly Hayes	The Night Manager	Episode #1.1	04	actress	American Woman
Hovik Keuchkerian	The Night Manager	Episode #1.5	04	actor	Tabby
Hovik Keuchkerian	The Night Manager		08	actor	Tabby
Hugh Laurie	The Night Manager		01	actor	Richard Roper
Hugh Laurie	The Night Manager	Episode #1.1	01	actor	Richard Roper
Hugh Laurie	The Night Manager	Episode #1.4	01	actor	Richard Roper
Hugh Laurie	The Night Manager	Episode #1.5	01	actor	Richard Roper
Hugh Laurie	The Night Manager	Episode #1.3	03	actor	Richard Roper
Hugh Laurie	The Night Manager	Episode #1.2	04	actor	Richard Roper
Imelda Staunton	The Crown	Episode #5.1	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #5.10	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #5.2	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #5.3	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #5.4	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #5.5	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #5.6	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #5.7	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #5.8	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #5.9	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #6.1	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #6.10	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #6.2	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #6.3	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #6.4	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #6.5	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #6.6	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #6.7	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #6.8	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown	Episode #6.9	01	actress	Queen Elizabeth II
Imelda Staunton	The Crown		03	actress	Queen Elizabeth II
James Aspinall	The Durrells	Episode #1.4	10	cinematographer	
James Aspinall	The Durrells	Episode #1.5	10	cinematographer	
James Aspinall	The Durrells	Episode #1.6	10	cinematographer	
James Graham	The Crown	Tywysog Cymru	07	writer	
Jane Lapotaire	The Crown	Bubbikins	03	actress	Princess Alice
Jared Harris	The Crown	Gloriana	04	actor	King George VI
Jared Harris	The Crown	Hyde Park Corner	04	actor	King George VI
Jared Harris	The Crown	Smoke and Mirrors	04	actor	King George VI
Jared Harris	The Crown	Vergangenheit	04	actor	King George VI
Jared Harris	The Crown	Windsor	04	actor	King George VI
Jared Harris	The Crown	Wolferton Splash	04	actor	King George VI
Jeremy Northam	The Crown	Misadventure	04	actor	Anthony Eden
Jeremy Northam	The Crown	Scientia Potentia Est	04	actor	Anthony Eden
Jessica Hobbs	The Crown	Cri de Coeur	05	director	
Jessica Hobbs	The Crown	Moondust	05	director	
John le Carré	The Night Manager	Episode #1.1	06	writer	
John le Carré	The Night Manager	Episode #1.2	06	writer	
John le Carré	The Night Manager	Episode #1.3	06	writer	
John le Carré	The Night Manager	Episode #1.4	06	writer	
John le Carré	The Night Manager	Episode #1.5	06	writer	
John le Carré	The Night Manager	Episode #1.6	06	writer	
Jon Brittain	The Crown	Aberfan	08	writer	
Jon Brittain	The Crown	Bubbikins	08	writer	
Jon Brittain	The Crown	Coup	08	writer	
Jon Brittain	The Crown	Cri de Coeur	08	writer	
Jon Brittain	The Crown	Margaretology	08	writer	
Jon Brittain	The Crown	Moondust	08	writer	
Jon Brittain	The Crown	Olding	08	writer	
Jon Brittain	The Crown	Dangling Man	09	writer	
Jon Brittain	The Crown	Imbroglio	09	writer	
Jon Brittain	The Crown	Tywysog Cymru	09	writer	
Jonathan Aris	The Night Manager	Episode #1.6	02	actor	Raymond Galt
Jonathan Pryce	The Crown	Episode #5.1	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #5.10	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #5.2	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #5.3	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #5.4	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #5.5	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #5.6	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #5.7	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #5.8	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #5.9	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #6.1	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #6.10	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #6.2	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #6.3	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #6.4	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #6.5	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #6.6	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #6.7	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #6.8	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Pryce	The Crown	Episode #6.9	02	actor	Prince Philip, Duke of Edinburgh
Jonathan Wilson	The Crown	Aberfan	07	writer	
Jonathan Wilson	The Crown	Bubbikins	07	writer	
Jonathan Wilson	The Crown	Coup	07	writer	
Jonathan Wilson	The Crown	Cri de Coeur	07	writer	
Jonathan Wilson	The Crown	Margaretology	07	writer	
Jonathan Wilson	The Crown	Moondust	07	writer	
Jonathan Wilson	The Crown	Olding	07	writer	
Jonathan Wilson	The Crown	Dangling Man	08	writer	
Jonathan Wilson	The Crown	Imbroglio	08	writer	
Jonathan Wilson	The Crown	Tywysog Cymru	08	writer	
Josh O'Connor	The Crown	Episode #4.4	03	actor	Prince Charles
Josh O'Connor	The Crown	Dangling Man	04	actor	Prince Charles
Josh O'Connor	The Crown	Episode #4.1	08	actor	Prince Charles
Josh O'Connor	The Crown	Episode #4.5	09	actor	Prince Charles
Josh O'Connor	The Crown	Episode #4.2	10	actor	Prince Charles
Josh O'Connor	The Durrells		02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #1.1	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #1.2	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #1.3	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #1.4	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #1.5	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #1.6	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #2.1	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #2.2	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #2.3	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #2.4	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #2.5	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #2.6	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #3.1	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #3.2	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #3.3	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #3.4	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #3.5	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #3.6	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #3.7	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #3.8	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #4.1	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #4.2	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #4.3	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #4.4	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #4.5	02	actor	Lawrence Durrell
Josh O'Connor	The Durrells	Episode #4.6	02	actor	Lawrence Durrell
Julian Baring	The Crown	Paterfamilias	04	actor	Prince Charles
Julian Court	The Durrells	Episode #1.1	10	cinematographer	
Julian Court	The Durrells	Episode #1.2	10	cinematographer	
Julian Court	The Durrells	Episode #1.3	10	cinematographer	
Julian Jarrold	The Crown	Act of God	05	director	
Julian Jarrold	The Crown	Episode #4.6	05	director	
Julian Jarrold	The Crown	Episode #4.8	05	director	
Julian Jarrold	The Crown	Gelignite	05	director	
Karina Beuthe Orr	The Crown	Episode #4.4	10	actress	Anne-Charlotte Verney
Katherine Kelly	The Night Manager	Episode #1.6	04	actress	Permanent Secretary
Keeley Hawes	The Durrells		01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #1.1	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #1.2	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #1.3	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #1.4	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #1.5	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #1.6	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #2.1	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #2.2	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #2.3	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #2.4	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #2.5	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #2.6	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #3.1	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #3.2	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #3.3	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #3.4	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #3.5	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #3.6	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #3.7	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #3.8	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #4.1	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #4.2	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #4.3	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #4.4	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #4.5	01	actress	Louisa Durrell
Keeley Hawes	The Durrells	Episode #4.6	01	actress	Louisa Durrell
Laura Deeley	The Crown	A Company of Men	08	writer	
Laura Deeley	The Crown	Dear Mrs. Kennedy	08	writer	
Laura Deeley	The Crown	Lisbon	08	writer	
Laura Deeley	The Crown	Marionettes	08	writer	
Laura Deeley	The Crown	Matrimonium	08	writer	
Laura Deeley	The Crown	Misadventure	08	writer	
Laura Deeley	The Crown	Mystery Man	08	writer	
Laura Deeley	The Crown	Vergangenheit	08	writer	
Laura Deeley	The Crown	Beryl	09	writer	
Laura Deeley	The Crown	Paterfamilias	09	writer	
Lesley Manville	The Crown	Episode #5.1	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #5.10	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #5.2	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #5.3	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #5.4	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #5.5	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #5.6	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #5.7	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #5.8	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #5.9	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #6.1	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #6.10	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #6.2	03	actress	Princess Margaret
Lesley Manville	The Crown	Episode #6.3	03	actress	Princess Margaret
